The number of communities,4714
Largest Community,792
Community  1 :,
Number of Nodes,792
Length  2 ,1582
Length  3 ,609256
Length  4 ,3136
Length  5 ,12482
Length  6 ,16
Average Degree of Seperation,3.042405726
Community  2 :,
Number of Nodes,664
Length  2 ,1326
Length  3 ,385430
Length  4 ,11248
Length  5 ,39748
Length  6 ,1752
Length  7 ,688
Length  8 ,40
Average Degree of Seperation,3.221760345
Community  3 :,
Number of Nodes,653
Length  2 ,1304
Length  3 ,399048
Length  4 ,2560
Length  5 ,22718
Length  6 ,36
Length  7 ,90
Average Degree of Seperation,3.11076767
Community  4 :,
Number of Nodes,448
Length  2 ,894
Length  3 ,199362
Average Degree of Seperation,2.995535714
Community  5 :,
Number of Nodes,305
Length  2 ,608
Length  3 ,92112
Average Degree of Seperation,2.993442623
Community  6 :,
Number of Nodes,299
Length  2 ,596
Length  3 ,87914
Length  4 ,592
Average Degree of Seperation,2.999955108
Community  7 :,
Number of Nodes,286
Length  2 ,570
Length  3 ,56784
Length  4 ,2642
Length  5 ,19296
Length  6 ,1738
Length  7 ,444
Length  8 ,36
Average Degree of Seperation,3.586848239
Community  8 :,
Number of Nodes,255
Length  2 ,512
Length  3 ,15454
Length  4 ,2434
Length  5 ,25256
Length  6 ,1650
Length  7 ,11154
Length  8 ,762
Length  9 ,5252
Length  10 ,420
Length  11 ,1702
Length  12 ,54
Length  13 ,120
Average Degree of Seperation,5.401790953
Community  9 :,
Number of Nodes,253
Length  2 ,506
Length  3 ,17120
Length  4 ,2450
Length  5 ,23300
Length  6 ,2294
Length  7 ,15952
Length  8 ,964
Length  9 ,1144
Length  10 ,26
Average Degree of Seperation,5.056277056
Community  10 :,
Number of Nodes,244
Length  2 ,486
Length  3 ,44924
Length  4 ,3422
Length  5 ,9762
Length  6 ,322
Length  7 ,376
Average Degree of Seperation,3.420461445
Community  11 :,
Number of Nodes,244
Length  2 ,486
Length  3 ,41236
Length  4 ,2118
Length  5 ,14092
Length  6 ,682
Length  7 ,646
Length  8 ,32
Average Degree of Seperation,3.583653781
Community  12 :,
Number of Nodes,228
Length  2 ,454
Length  3 ,43998
Length  4 ,2550
Length  5 ,4644
Length  6 ,90
Length  7 ,20
Average Degree of Seperation,3.226717675
Community  13 :,
Number of Nodes,220
Length  2 ,438
Length  3 ,47742
Average Degree of Seperation,2.990909091
Community  14 :,
Number of Nodes,214
Length  2 ,430
Length  3 ,12142
Length  4 ,1920
Length  5 ,24058
Length  6 ,1926
Length  7 ,4734
Length  8 ,190
Length  9 ,182
Average Degree of Seperation,4.675266553
Community  15 :,
Number of Nodes,211
Length  2 ,420
Length  3 ,13218
Length  4 ,858
Length  5 ,13346
Length  6 ,896
Length  7 ,10154
Length  8 ,698
Length  9 ,3380
Length  10 ,316
Length  11 ,964
Length  12 ,60
Average Degree of Seperation,5.362175581
Community  16 :,
Number of Nodes,210
Length  2 ,418
Length  3 ,39494
Length  4 ,414
Length  5 ,3564
Average Degree of Seperation,3.162314878
Community  17 :,
Number of Nodes,202
Length  2 ,402
Length  3 ,21054
Length  4 ,672
Length  5 ,16562
Length  6 ,120
Length  7 ,1792
Average Degree of Seperation,4.007881385
Community  18 :,
Number of Nodes,198
Length  2 ,394
Length  3 ,38612
Average Degree of Seperation,2.98989899
Community  19 :,
Number of Nodes,198
Length  2 ,394
Length  3 ,7910
Length  4 ,1270
Length  5 ,12700
Length  6 ,1548
Length  7 ,10158
Length  8 ,926
Length  9 ,3054
Length  10 ,288
Length  11 ,708
Length  12 ,38
Length  13 ,12
Average Degree of Seperation,5.631595139
Community  20 :,
Number of Nodes,192
Length  2 ,382
Length  3 ,13110
Length  4 ,544
Length  5 ,4916
Length  6 ,1306
Length  7 ,16414
Average Degree of Seperation,5.169720768
Community  21 :,
Number of Nodes,189
Length  2 ,376
Length  3 ,15158
Length  4 ,696
Length  5 ,16734
Length  6 ,408
Length  7 ,2160
Average Degree of Seperation,4.228526399
Community  22 :,
Number of Nodes,186
Length  2 ,370
Length  3 ,34040
Average Degree of Seperation,2.989247312
Community  23 :,
Number of Nodes,181
Length  2 ,360
Length  3 ,32220
Average Degree of Seperation,2.988950276
Community  24 :,
Number of Nodes,177
Length  2 ,352
Length  3 ,6870
Length  4 ,1026
Length  5 ,9962
Length  6 ,1152
Length  7 ,7276
Length  8 ,494
Length  9 ,4020
Average Degree of Seperation,5.559964047
Community  25 :,
Number of Nodes,172
Length  2 ,344
Length  3 ,9034
Length  4 ,726
Length  5 ,13130
Length  6 ,600
Length  7 ,5578
Average Degree of Seperation,4.725622195
Community  26 :,
Number of Nodes,171
Length  2 ,340
Length  3 ,9374
Length  4 ,1174
Length  5 ,4842
Length  6 ,918
Length  7 ,10544
Length  8 ,926
Length  9 ,772
Length  10 ,156
Length  11 ,18
Length  12 ,6
Average Degree of Seperation,5.270381837
Community  27 :,
Number of Nodes,161
Length  2 ,320
Length  3 ,6942
Length  4 ,794
Length  5 ,9356
Length  6 ,2428
Length  7 ,4556
Length  8 ,1002
Length  9 ,350
Length  10 ,12
Average Degree of Seperation,5.014285714
Community  28 :,
Number of Nodes,156
Length  2 ,310
Length  3 ,5910
Length  4 ,640
Length  5 ,6006
Length  6 ,544
Length  7 ,6422
Length  8 ,522
Length  9 ,2008
Length  10 ,188
Length  11 ,1462
Length  12 ,164
Length  13 ,4
Average Degree of Seperation,5.847311828
Community  29 :,
Number of Nodes,151
Length  2 ,300
Length  3 ,5466
Length  4 ,814
Length  5 ,4702
Length  6 ,748
Length  7 ,4568
Length  8 ,778
Length  9 ,4966
Length  10 ,180
Length  11 ,128
Average Degree of Seperation,5.931743929
Community  30 :,
Number of Nodes,146
Length  2 ,290
Length  3 ,20880
Average Degree of Seperation,2.98630137
Community  31 :,
Number of Nodes,146
Length  2 ,290
Length  3 ,20594
Length  4 ,286
Average Degree of Seperation,2.999811053
Community  32 :,
Number of Nodes,144
Length  2 ,286
Length  3 ,5362
Length  4 ,644
Length  5 ,7624
Length  6 ,650
Length  7 ,4120
Length  8 ,424
Length  9 ,1006
Length  10 ,152
Length  11 ,280
Length  12 ,20
Length  13 ,24
Average Degree of Seperation,5.22979798
Community  33 :,
Number of Nodes,137
Length  2 ,272
Length  3 ,15164
Length  4 ,268
Length  5 ,2928
Average Degree of Seperation,3.314083298
Community  34 :,
Number of Nodes,130
Length  2 ,258
Length  3 ,7968
Length  4 ,274
Length  5 ,2532
Length  6 ,230
Length  7 ,5508
Average Degree of Seperation,4.657841383
Community  35 :,
Number of Nodes,129
Length  2 ,256
Length  3 ,6786
Length  4 ,958
Length  5 ,7186
Length  6 ,688
Length  7 ,592
Length  8 ,34
Length  9 ,12
Average Degree of Seperation,4.195978682
Community  36 :,
Number of Nodes,128
Length  2 ,254
Length  3 ,11842
Length  4 ,1540
Length  5 ,2416
Length  6 ,126
Length  7 ,78
Average Degree of Seperation,3.418799213
Community  37 :,
Number of Nodes,127
Length  2 ,252
Length  3 ,15750
Average Degree of Seperation,2.984251969
Community  38 :,
Number of Nodes,127
Length  2 ,252
Length  3 ,8112
Length  4 ,518
Length  5 ,3848
Length  6 ,480
Length  7 ,2588
Length  8 ,202
Length  9 ,2
Average Degree of Seperation,4.298337708
Community  39 :,
Number of Nodes,122
Length  2 ,242
Length  3 ,14520
Average Degree of Seperation,2.983606557
Community  40 :,
Number of Nodes,119
Length  2 ,236
Length  3 ,9060
Length  4 ,986
Length  5 ,3218
Length  6 ,324
Length  7 ,196
Length  8 ,22
Average Degree of Seperation,3.644637516
Community  41 :,
Number of Nodes,117
Length  2 ,232
Length  3 ,13340
Average Degree of Seperation,2.982905983
Community  42 :,
Number of Nodes,117
Length  2 ,232
Length  3 ,6424
Length  4 ,720
Length  5 ,5248
Length  6 ,360
Length  7 ,552
Length  8 ,20
Length  9 ,16
Average Degree of Seperation,4.066018273
Community  43 :,
Number of Nodes,114
Length  2 ,226
Length  3 ,12434
Length  4 ,222
Average Degree of Seperation,2.999689489
Community  44 :,
Number of Nodes,114
Length  2 ,226
Length  3 ,12656
Average Degree of Seperation,2.98245614
Community  45 :,
Number of Nodes,113
Length  2 ,224
Length  3 ,4896
Length  4 ,472
