Community  2 :,
Length  2 ,316
Length  3 ,22984
Length  4 ,312
Length  5 ,1510
Average Degree of Seperation,3.120054136
Community  3 :,
Length  2 ,238
Length  3 ,13808
Length  4 ,234
Average Degree of Seperation,2.999719888
Community  4 :,
Length  2 ,202
Length  3 ,2386
Length  4 ,434
Length  5 ,3830
Length  6 ,434
Length  7 ,2662
Length  8 ,256
Length  9 ,94
Length  10 ,4
Average Degree of Seperation,5.107746069
Community  5 :,
Length  2 ,202
Length  3 ,4674
Length  4 ,496
Length  5 ,4098
Length  6 ,438
Length  7 ,370
Length  8 ,16
Length  9 ,8
Average Degree of Seperation,4.107746069
Community  6 :,
Length  2 ,192
Length  3 ,2428
Length  4 ,352
Length  5 ,2368
Length  6 ,310
Length  7 ,3364
Length  8 ,66
Length  9 ,232
Average Degree of Seperation,5.255584192
Community  7 :,
Length  2 ,192
Length  3 ,9120
Average Degree of Seperation,2.979381443
Community  8 :,
Length  2 ,190
Length  3 ,4504
Length  4 ,186
Length  5 ,4240
Average Degree of Seperation,3.929385965
Community  9 :,
Length  2 ,182
Length  3 ,1870
Length  4 ,840
Length  5 ,1368
Length  6 ,1794
Length  7 ,828
Length  8 ,1162
Length  9 ,172
Length  10 ,156
Average Degree of Seperation,5.391543239
Community  10 :,
Length  2 ,182
Length  3 ,3432
Length  4 ,404
Length  5 ,2674
Length  6 ,1054
Length  7 ,212
Length  8 ,414
Average Degree of Seperation,4.391543239
Community  11 :,
Length  2 ,178
Length  3 ,5344
Length  4 ,1258
Length  5 ,1064
Length  6 ,164
Length  7 ,2
Average Degree of Seperation,3.462921348
Community  12 :,
Length  2 ,174
Length  3 ,5440
Length  4 ,170
Length  5 ,1872
Average Degree of Seperation,3.488505747
Community  13 :,
Length  2 ,144
Length  3 ,5112
Average Degree of Seperation,2.97260274
Community  14 :,
Length  2 ,132
Length  3 ,4290
Average Degree of Seperation,2.970149254
Community  15 :,
Length  2 ,128
Length  3 ,3908
Length  4 ,124
Average Degree of Seperation,2.999038462
Community  16 :,
Length  2 ,126
Length  3 ,2140
Length  4 ,178
Length  5 ,1326
Length  6 ,176
Length  7 ,86
Average Degree of Seperation,3.886904762
Community  17 :,
Length  2 ,112
Length  3 ,2972
Length  4 ,108
Average Degree of Seperation,2.998746867
Community  18 :,
Length  2 ,100
Length  3 ,2450
Average Degree of Seperation,2.960784314
Community  19 :,
Length  2 ,90
Length  3 ,854
Length  4 ,194
Length  5 ,880
Length  6 ,52
Average Degree of Seperation,3.975845411
Community  20 :,
Length  2 ,86
Length  3 ,1806
Average Degree of Seperation,2.954545455
Community  21 :,
Length  2 ,82
Length  3 ,1640
Average Degree of Seperation,2.952380952
Community  22 :,
Length  2 ,78
Length  3 ,1482
