The number of communities,  1777
Biggest Community Length,  851
Community  1 :
Length  2 , 1700
Length  3 , 719954
Length  4 , 1696
Average Degree of Seperation,  2.9999944701734984
Community  2 :
Length  2 , 274
Length  3 , 9904
Length  4 , 840
Length  5 , 6924
Length  6 , 216
Length  7 , 748
Average Degree of Seperation,  3.9549349412884798
Community  3 :
Length  2 , 218
Length  3 , 11772
Average Degree of Seperation,  2.981818181818182
Community  4 :
Length  2 , 198
Length  3 , 5338
Length  4 , 234
Length  5 , 3152
Length  6 , 150
Length  7 , 828
Average Degree of Seperation,  4.02040404040404
Community  5 :
Length  2 , 172
Length  3 , 2776
Length  4 , 578
Length  5 , 2794
Length  6 , 330
Length  7 , 472
Length  8 , 154
Length  9 , 20
Length  10 , 14
Average Degree of Seperation,  4.348837209302325
Community  6 :
Length  2 , 158
Length  3 , 6162
Average Degree of Seperation,  2.975
Community  7 :
Length  2 , 146
Length  3 , 3860
Length  4 , 262
Length  5 , 1100
Length  6 , 18
Length  7 , 16
Average Degree of Seperation,  3.4505738615327655
Community  8 :
Length  2 , 144
Length  3 , 2098
Length  4 , 424
Length  5 , 1296
Length  6 , 200
Length  7 , 860
Length  8 , 148
Length  9 , 78
Length  10 , 8
Average Degree of Seperation,  4.555555555555555
Community  9 :
Length  2 , 140
Length  3 , 1852
Length  4 , 186
Length  5 , 2134
Length  6 , 82
Length  7 , 576
Average Degree of Seperation,  4.381086519114688
Community  10 :
Length  2 , 130
Length  3 , 3910
Length  4 , 248
Length  5 , 2
Average Degree of Seperation,  3.0284382284382283
Community  11 :
Length  2 , 130
Length  3 , 3438
Length  4 , 240
Length  5 , 466
Length  6 , 8
Length  7 , 8
Average Degree of Seperation,  3.255944055944056
Community  12 :
Length  2 , 114
Length  3 , 1834
Length  4 , 110
Length  5 , 1248
Average Degree of Seperation,  3.7537810042347246
Community  13 :
Length  2 , 110
Length  3 , 2970
Average Degree of Seperation,  2.9642857142857144
Community  14 :
Length  2 , 110
Length  3 , 1072
Length  4 , 214
Length  5 , 1504
Length  6 , 92
Length  7 , 88
Average Degree of Seperation,  4.214285714285714
Community  15 :
Length  2 , 100
Length  3 , 2450
Average Degree of Seperation,  2.9607843137254903
Community  16 :
Length  2 , 84
Length  3 , 1722
Average Degree of Seperation,  2.953488372093023
Community  17 :
Length  2 , 82
Length  3 , 1640
Average Degree of Seperation,  2.9523809523809526
Community  18 :
Length  2 , 80
Length  3 , 1100
Length  4 , 76
Length  5 , 384
Average Degree of Seperation,  3.4658536585365853
Community  19 :
Length  2 , 78
Length  3 , 1268
Length  4 , 74
Length  5 , 140
Average Degree of Seperation,  3.1769230769230767
Community  20 :
Length  2 , 78
Length  3 , 1482
Average Degree of Seperation,  2.95
Community  21 :
Length  2 , 76
Length  3 , 592
Length  4 , 110
Length  5 , 602
Length  6 , 30
Length  7 , 72
Average Degree of Seperation,  4.090418353576248
Community  22 :
Length  2 , 74
Length  3 , 1332
Average Degree of Seperation,  2.9473684210526314
Community  23 :
Length  2 , 70
Length  3 , 1190
Average Degree of Seperation,  2.9444444444444446
Community  24 :
Length  2 , 64
Length  3 , 992
Average Degree of Seperation,  2.9393939393939394
Community  25 :
Length  2 , 64
Length  3 , 424
Length  4 , 92
Length  5 , 378
Length  6 , 56
Length  7 , 22
Length  8 , 20
Average Degree of Seperation,  4.079545454545454
Community  26 :
Length  2 , 58
Length  3 , 812
Average Degree of Seperation,  2.933333333333333
Community  27 :
Length  2 , 58
Length  3 , 812
Average Degree of Seperation,  2.933333333333333
Community  28 :
Length  2 , 58
Length  3 , 812
Average Degree of Seperation,  2.933333333333333
Community  29 :
Length  2 , 56
Length  3 , 654
Length  4 , 52
Length  5 , 50
Average Degree of Seperation,  3.1182266009852215
Community  30 :
Length  2 , 56
Length  3 , 704
Length  4 , 52
Average Degree of Seperation,  2.9950738916256157
Community  31 :
Length  2 , 54
Length  3 , 702
Average Degree of Seperation,  2.9285714285714284
Community  32 :
Length  2 , 52
Length  3 , 332
Length  4 , 48
Length  5 , 270
Average Degree of Seperation,  3.7635327635327633
Community  33 :
Length  2 , 52
Length  3 , 650
Average Degree of Seperation,  2.925925925925926
Community  34 :
